,index,type,geometry,properties.location_state,properties.estab_type,properties.zip_code,properties.city,properties.location_zip,properties.operation_type,properties.state,properties.location_address,properties.address_line_3,properties.location_city,properties.street_name,properties.dba_name,properties.county,properties.entity_name,properties.square_footage,properties.address_line_2,properties.street_number,properties.license_number,geometry.type,geometry.coordinates,address,_location,_latitude,_longitude,_status,_bin,_bbl
0,0,Feature,,NY,"JAC   ",11435,"JAMAICA           ",11435,Store,NY,95 33 SUTPHIN BLVD,"               ",JAMAICA,"SUTPHIN BLVD               ",DELI CENTROAMERICANA CA,Queens,DELI CENTROAMERICANA CARLITOS COR,0,"             ",95-33,739654,,,95 33 SUTPHIN BLVD 95 33 SUTPHIN BLVD,"95-33 SUTPHIN BOULEVARD, Queens, New York, NY, USA",40.697656,-73.805706,Unchecked,4214518,4100270028
1,1,Feature,,NY,"JAC   ",11103,"ASTORIA           ",11103,Store,NY,42 05,"               ",ASTORIA,"BROADWAY                   ","DON GABRIEL            ",Queens,"DON GABRIEL CORP                 ",900,"             ",42-05,741562,,,42 05 42 05,"42 PAERDEGAT 05 STREET, Brooklyn, New York, NY, USA",40.631304,-73.9089,Unchecked,3225900,3080440136
2,23,Feature,,NY,"JAC   ",11229,"BROOKLYN          ",11229,Store,NY,2518 AVENUE,"               ",BROOKLYN,"AVENUE U                    ","PRODUCE MARKET 2000    ",Kings,"PRODUCE MARKET 2000 INC          ",2800,"             ",2518,619082,,,2518 AVENUE 2518 AVENUE,"2518 AVENUE R, Brooklyn, New York, NY, USA",40.606714,-73.947205,Unchecked,3184371,3068310008
3,29,Feature,,NY,"JAC   ",11209,"BROOKLYN          ",11209,Store,NY,100 06 4TH AVE,"               ",BROOKLYN,"4TH AVE                   ","KKISB                  ",Kings,"KKISB CORP                       ",1500,"             ",100-06,731163,,,100 06 4TH AVE 100 06 4TH AVE,?,?,?,Failed,?,?
4,62,Feature,,NY,"JAC   ",11235,"BROOKLYN          ",11235,Store,NY,2972 AVE,"               ",BROOKLYN,"AVE X                       ","AMMAR DELI AND GROCERY ",Kings,"AMMAR DELI AND GROCERY INC       ",1500,"             ",2972,742653,,,2972 AVE 2972 AVE,"2972 AVENUE X, Brooklyn, New York, NY, USA",40.593773,-73.938962,Unchecked,3203614,3074230006
5,77,Feature,,NY,"A     ",11203,"BROOKLYN          ",11203,Store,NY,4104 AVENUE,"               ",BROOKLYN,"AVENUE D                    ","YUN TAI CO             ",Kings,"YUN TAI INC                      ",1200,"             ",4104,612076,,,4104 AVENUE 4104 AVENUE,"4104 AVENUE T, Brooklyn, New York, NY, USA",40.610368,-73.925606,Unchecked,3241921,3085410037
6,135,Feature,,NY,"JAC   ",11237,"BROOKLYN          ",11237,Store,NY,181 ST NICHOLAS AVE,"               ",BROOKLYN,"ST NICHOLAS AVE              ","QUISQUEYA DELI & GRCRY ",Kings,"GONZALEZ RICARDO                 ",800,"             ",181,617752,,,181 ST NICHOLAS AVE 181 ST NICHOLAS AVE,"181 ST NICHOLAS' AVENUE, Brooklyn, New York, NY, USA",40.704191,-73.915608,Unchecked,3074913,3032820010
7,228,Feature,,NY,"JAC   ",11229,"BROOKLYN          ",11229,Store,NY,1201 AVE,"               ",BROOKLYN,"AVE U                       ","1201 DELI & GRILL      ",Kings,"1201 DELI & GRILL INC            ",1200,"             ",1201,734426,,,1201 AVE 1201 AVE,"1201 AVENUE K, Brooklyn, New York, NY, USA",40.622765,-73.963595,Unchecked,3179890,3067140041
8,438,Feature,,NY,"JAC   ",10451,"BRONX             ",10451,Store,NY,700A GRAND,"               ",BRONX,"GRAND CONCOURSE         ","SALAH MARKET           ",Bronx,"SALAH MARKET CORP                ",750,"             ",700A,738787,,,700A GRAND 700A GRAND,?,?,?,Failed,?,?
9,459,Feature,,NY,"JAC   ",10456,"BRONX             ",10456,Store,NY,1266 GRAND,"               ",BRONX,"GRAND CONCOURSE             ","CONCOURSE DELI GROCERY ",Bronx,"CONCOURSE DELI GROCERY INC       ",1500,"             ",1266,608168,,,1266 GRAND 1266 GRAND,"1266 GRAND CONCOURSE, Bronx, New York, NY, USA",40.835895,-73.915858,Unchecked,2002774,2024570040
10,519,Feature,,NY,"JAC   ",11235,"BROOKLYN          ",11235,Store,NY,1710 AVENUE,"               ",BROOKLYN,"AVENUE Y                    ",HISSHO SUSHI@STOP&SHOP#,Kings,"LWIN FAMILY CO LLC               ",400,"             ",1710,740791,,,1710 AVENUE 1710 AVENUE,"1710 AVENUE O, Brooklyn, New York, NY, USA",40.61301,-73.956716,Unchecked,3181954,3067640005
11,533,Feature,,NY,"JAC   ",11205,"BROOKLYN          ",11205,Store,NY,21 FLUSHING AVE,"               ",BROOKLYN,"FLUSHING AVE                  ",WEGMANS FOOD MARKETS #1,Kings,"WEGMANS FOOD MARKETS INC         ",7350,"             ",21,739221,,,21 FLUSHING AVE 21 FLUSHING AVE,"21 FLUSHING AVENUE, Brooklyn, New York, NY, USA",40.698716,-73.978419,Unchecked,3421807,3020230050
12,558,Feature,,NY,"JAC   ",11236,"BROOKLYN          ",11236,Store,NY,935 941 E 107TH ST,"               ",BROOKLYN,"E 107TH ST               ","FOOD WORLD             ",Kings,"PINE TREE MEAT&PRODUCE INC       ",10000,"             ",935-941,613346,,,935 941 E 107TH ST 935 941 E 107TH ST,?,?,?,Failed,?,?
13,609,Feature,,NY,"A     ",11201,"BROOKLYN          ",11201,Store,NY,4 METROTEHC CNTR,"               ",BROOKLYN,"METROTEHC CNTR                 ","VICTORS HALLMARK SHOP  ",Kings,"VICTORS HALLMARK SHOP INC        ",2500,"             ",4,615256,,,4 METROTEHC CNTR 4 METROTEHC CNTR,?,?,?,Failed,?,?
14,621,Feature,,NY,"JAC   ",11213,"BROOKLYN          ",11213,Store,NY,1351 ST JOHNS PLACE,"               ",BROOKLYN,"ST JOHNS PLACE              ","235 GOURMET DELI       ",Kings,"1351 GOURMET DELI INC            ",1000,"             ",1351,741805,,,1351 ST JOHNS PLACE 1351 ST JOHNS PLACE,"1351 ST JOHN'S PLACE, Brooklyn, New York, NY, USA",40.670882,-73.933422,Unchecked,3036784,3013780001
15,761,Feature,,NY,"JAC   ",10452,"BRONX             ",10452,Store,NY,1215 GRAND,"               ",BRONX,"GRAND CONCOURSE             ","MUNCHIES DELI GROCERY  ",Bronx,"MUNCHIES DELI GROCERY CORP       ",1500,"             ",1215,736193,,,1215 GRAND 1215 GRAND,"1215 GRAND STREET, Brooklyn, New York, NY, USA",40.71597,-73.928112,Unchecked,3070505,3029290046
16,840,Feature,,NY,"JAC   ",11229,"BROOKLYN          ",11229,Store,NY,2611 AVENUE,"               ",BROOKLYN,"AVENUE U                    ","M & N PORK STORE       ",Kings,"M & N PORK STORE INC             ",1800,"             ",2611,743114,,,2611 AVENUE 2611 AVENUE,"2611 AVENUE X, Brooklyn, New York, NY, USA",40.593665,-73.944001,Unchecked,3202478,3074050640
